yday,2011,2012,2013,2014,2015,2016,2017
219,0,1.4930556,2.1412036,2.8703704,1.5277778,1.724537,0
220,0,1.5046296,2.1180556,2.3263888,1.5046296,1.7476852,0.012037037
221,0,1.4814814,2.1412036,1.1342592,1.5393518,1.7708334,0.07233796
222,0.7175926,1.4814814,2.1412036,1.1342592,1.5277778,1.7708334,3.4837964
223,0.7291667,1.4930556,2.1296296,1.1689814,1.5393518,1.724537,3.4837964
224,1.1805556,1.4814814,2.1412036,1.1574074,1.550926,1.7476852,3.4953704
225,1.1805556,1.5046296,2.1412036,1.1458334,1.5393518,0.034722224,3.460648
226,1.3078704,1.1458334,2.1296296,0.7060185,1.5625,2.3148148,3.4953704
227,1.1805556,1.1458334,2.1875,0.6944444,1.550926,2.3032408,1.9328704
228,1.1921296,1.1805556,1.6550926,0.9143519,2.1180556,2.3263888,1.6396991
229,0,1.1458334,1.574074,0.9143519,2.1180556,2.3379629,0
230,0,0.8333333,0.5902778,0.9490741,2.1180556,2.8935184,0
231,0,0,0,0.9259259,2.1064816,5.474537,0
232,1.2152778,0,0,0.9259259,2.1180556,3.2175925,0
233,1.2962962,0,0,0.9143519,2.1180556,2.2916667,0
234,1.2962962,0,0,0.6828704,2.0949075,7.997685,0
235,1.2847222,0,0,0.5902778,2.1180556,3.5648148,0
236,1.2962962,0,0,0.5787037,2.175926,2.9166667,0
237,1.2731482,0,0,1.1689814,2.1180556,1.3078704,0
238,1.2847222,0,0.6365741,1.7476852,2.1180556,1.1689814,4.0509257
239,1.261574,0,0.4861111,3.4722223,2.1296296,1.1805556,4.108796
240,1.2962962,0,1.5856482,3.4837964,2.6851852,1.1574074,2.8935184
241,1.2962962,0,1.5972222,3.460648,2.6620371,1.1921296,2.9513888
242,0.3587963,0,1.5856482,3.3680556,2.6620371,1.724537,2.3148148
243,0,0,1.5625,3.4837964,2.6851852,1.7361112,2.3495371
244,0,0,1.6087962,3.5185184,2.6851852,1.712963,2.3495371
245,0,0.9953704,1.5856482,2.9050925,2.1064816,1.7361112,2.3148148
246,0.8680556,1.0069444,2.4652777,2.9166667,2.0833333,1.7361112,2.3263888
247,1.1689814,1.4467592,2.4652777,2.3032408,1.5162038,1.7013888,0
248,1.2268518,1.4351852,3.2407408,2.2916667,1.5393518,1.7361112,0
249,1.2152778,2.2222223,3.4953704,2.3032408,1.5162038,1.7476852,0
250,0.3935185,2.1412036,3.3217592,2.3032408,1.5393518,1.724537,0
251,0,0.28935185,3.3796296,2.3148148,1.5277778,1.7013888,0
