"date","obs_psl","ERA5_psl","psl_1","psl_2","psl_3","psl_4","psl_5","psl_6","psl_7","psl_8","psl_9","psl_10","psl_11","psl_12","psl_13","psl_14","psl_15","psl_16","psl_17","psl_18","psl_19","psl_20","psl_21","psl_22","psl_23","psl_24","psl_25"
2008-01-30,NA,99081.0239355307,98467.0381804523,98830.8912750459,99091.3929738286,98811.1424475765,99367.6568180589,98343.0568450696,98783.704861956,99167.7451253731,98755.2321122451,98274.7022736221,99107.7781407689,99962.2236999792,98069.2727353361,98725.0839829225,98483.8706190129,98255.7553698585,98716.8181049834,99241.2546717095,98811.4979100858,98688.7300408126,98255.9902767347,98981.7794152637,99305.2588824462,99124.0644337349,98555.3769713523
2008-01-31,NA,99318.6851584801,100041.171573573,99314.7564675721,98664.8448772561,99516.5860071063,99303.609044263,98235.4681328975,98735.3657500873,98992.842830294,99303.2051550246,97664.4469767939,98803.8618283487,99687.6924350454,98233.7036979914,98365.0718285389,98775.7346974284,98293.6449593122,98426.2422203976,98995.9096392969,99147.3547558452,98600.4220594722,98719.7642329073,98818.9815979668,99360.7886968638,99184.4089384338,99154.549041375
2008-02-01,NA,99108.5207655204,99819.0814571869,99338.3731373379,98610.3341483979,99515.6799805542,98944.3685001832,97722.4452051505,98679.9847266791,98938.2740363717,99652.5683605572,98135.7017045129,98148.5510815508,99202.5254511278,98655.9126040127,98836.017352851,99336.359549547,98901.2722398678,98511.9131537403,98751.1702825534,99210.6744235731,98513.7727865249,98863.5156785585,98642.1160273018,99323.3171552473,98614.1717207247,99371.6046787791
2008-02-02,NA,98976.2713929506,99480.6364288002,99001.8182170322,98920.0231490882,98843.4612281653,98573.5345288159,97787.9846980483,98809.2577125424,98616.2212362031,99604.242209584,98609.3999513269,97922.8446334151,99181.8936332509,98994.1258785022,99298.0893229828,99000.0266420827,98752.5351861029,99134.0915629081,99143.0756639167,99340.0829260362,98386.8711412469,98688.7300408126,98418.9781757285,99115.5437207313,98654.6998380197,99016.6176834494
2008-02-03,NA,98782.8476112359,99118.6230547555,98861.1421646457,99002.771548016,98300.2469114561,98389.308896543,98438.3961567633,98889.5998399824,97971.9887211852,99325.6382888661,98952.1429920251,98504.1816017658,99512.9686510179,99034.3337846174,98723.1392316869,99137.0892047904,98242.7602845866,98568.6067021353,99024.5443464077,99242.4776140965,98889.5998399824,99048.900920198,98328.3069347965,99154.9019775548,99215.7755217125,98935.426584032
2008-02-04,NA,98906.529771832,98827.8530929727,98609.3999513269,98484.3569001255,98802.5481497922,98231.1480906512,98555.6460607413,98618.7879207041,98342.8639928943,99390.5490119713,98752.2392785537,99251.9758351944,99219.9785898188,98806.834798396,97809.4605636224,98966.4951764626,97607.5572588719,98333.2272494162,98572.0747290876,98691.5276859584,99170.1866700597,99632.6612221662,98278.1850322283,99073.5344792449,99096.2694431282,98825.4144218679
2008-02-05,NA,98937.9736921109,98906.0355900261,98316.4460459237,97951.0751040585,99315.5728851722,97811.9760985823,98225.4865441288,98367.7466703552,99046.140545507,99691.1337003525,98663.8682137014,98966.4951764626,98504.1816017658,98553.0128453573,98168.4181608921,99023.7495025954,98508.0889319829,99130.8271948979,98872.1156033809,98616.8135333422,98979.6209458007,99633.6679088195,98167.4321828288,98673.7740023431,98803.1129791214,98412.3501458803
2008-02-06,NA,98684.2149910299,98957.942697851,98720.4826803738,97674.5229396021,99336.359549547,97432.0499094592,99087.2306674091,98528.6232957055,98825.4934683666,99548.3561300393,99014.595122251,98793.1401598201,98215.4832344867,98183.7212627153,98160.8576766935,99126.169132977,98954.9113862424,99438.7682816893,99217.7211204894,98562.7801224547,98017.7206375052,99572.5202554467,97734.9504874706,98474.4209662302,98282.3604094173,98311.7704322564
2008-02-07,NA,98890.5799253123,98752.2392785537,98408.3822620186,98727.2634417571,99097.0088500779,98467.433727429,99139.8655559197,98667.2805379211,98604.8793981354,99523.7560733337,99095.6255321677,98545.0649170216,98699.7317691933,98779.1264640013,98153.955183,98678.4340937326,99347.5810488095,99248.4341310972,98827.7954654576,98820.3697677828,98274.7022736221,99649.1087883735,98417.5084533122,98204.0299019655,98168.4181608921,98319.273132127
2008-02-08,NA,99184.4048065725,98632.9707922273,98764.7159306188,99047.2284350602,98453.2767456686,99277.2915254697,99078.5795936908,98508.2079976923,98478.3377304745,99516.5534408341,98705.6277762038,98441.6973799204,98703.6840677088,98726.9293967849,98319.8082288074,98275.4596407371,98969.4544729623,98827.3512651752,98278.3755667506,99036.3956272829,98825.4144218679,99504.8094530749,98890.630264215,98763.229235078,97997.3590769085,98409.6371563705
2008-02-09,NA,99136.0822678164,98793.6118875402,99310.8047672556,98667.6406749484,98688.7300408126,99399.5154056299,99066.205970888,98202.354074064,98725.7557901101,99186.4208220298,98438.4120990822,98455.5289432628,98231.0992059512,99151.2012278659,98603.4935122424,98693.6323582557,98615.1671902845,98780.963241308,98676.701331301,98822.9835556248,99266.0817188602,99233.9264265703,99156.4702059868,98342.8639928943,99045.4947248597,98538.1635615362
2008-02-10,NA,98970.3721449425,98923.3452271569,99034.3337846174,98327.4636356063,99398.7640246116,99325.6382888661,99294.5325982106,98183.7212627153,98860.1040631806,99093.4840398557,98581.1931752792,98811.4979100858,98211.9505502286,99266.4081567962,98852.8303949125,98977.6881107603,98703.6840677088,98923.6313267634,98945.4151611203,98740.2751481877,99198.4260552316,99006.2032996325,98902.4549611816,98069.2727353361,99613.2288445745,98504.3779527874
2008-02-11,NA,98584.4167455775,98852.444970487,99076.5598003359,98501.2496949838,99249.1400858967,99011.6942253742,99197.8027542256,98724.0357903707,98655.0415709768,99280.9532943536,98842.2297101401,98995.7474359541,98494.3067778143,99446.9554614399,98968.3039803201,98969.0000371145,99013.4767537112,98793.2730763506,98734.7288777556,98659.9649690413,98847.5250091207,98618.7879207041,98588.3649327837,98325.4456562594,99691.4042507524,98347.9995163748
2008-02-12,NA,99024.4344235865,98751.6551041411,99129.5975011799,98720.3883523206,98881.7188954878,99007.8447627412,98968.8839917715,98999.9845677776,98183.7212627153,99354.0293070586,98946.6366953585,98961.8581768155,98849.9081593748,99305.4171168698,99001.3967390201,98972.7609847232,99298.0893229828,98255.2984865655,98872.1156033809,98829.7832816656,98549.4790973586,98616.7526844714,98866.3594958497,98323.0136714042,99418.7267024405,97989.6488240927
2008-02-13,NA,99474.601100958,98747.2952172646,99117.4009348764,99068.8541470058,99047.2284350602,99036.9215733622,98544.1147496054,99029.6412791086,98706.1418030638,99347.0574808466,98453.2767456686,98579.9273971641,98313.0703088147,99112.1248087576,99123.8104882928,99097.9001592107,99173.8205350201,98973.3963933885,98794.95793677,98861.6295711257,98475.2841393842,98747.3567859071,98608.1662758359,98378.3179574824,99278.1143874575,98469.1209011631
2008-02-14,NA,99342.9155089235,98406.7850302236,98604.8793981354,99067.0283026187,98969.4544729623,98866.3594958497,98349.4522269148,98730.3589453537,98878.0454135723,99315.0519124243,98287.426350059,98050.8688490056,98732.142423472,98912.5265040839,99138.7258886534,99311.1878779791,99028.1019295511,99495.1211062102,98496.5328995715,98442.4259131949,98316.4460459237,98640.9973851857,98049.657113502,98425.7776814267,98981.6321987675,99168.1710608644
2008-02-15,NA,99185.2071703785,99122.8819273153,99307.4590368149,98822.9835556248,98512.4904234388,98764.7159306188,97931.7033649028,98265.7225177106,98727.6471374206,99487.5771116849,98425.5836256658,99121.8088162015,98852.444970487,98572.0747290876,98996.6137349638,99379.7779985791,99034.3337846174,99380.9748358442,98377.2033258438,98197.1383272733,98119.4266411658,98927.7157042348,98041.8727203003,98026.9304505843,98637.0437921085,98968.9529876984
